ID,Name,Foundation Date,Capital,Country,isHeadQuarter
1,ELCA VN,1998,200000,VN,1
2,ABB Ltd,1/1/1993,320000,CH,1
3,AbbVie Inc,1878,120000,US,
4,Danone,8/1/1950,156000,FR,1
5,Bank Coop AG,1923,130000,CH,1
6,Cassiopea S.p.A.,5/3/1952,190000,IT,
7,Glarner Kantonalbank,1972,320000,CH,1
8,Orior AG,8/2/2006,349000,CH,1
9,Investis Holding SA,1938,20000,US,0
10,ELCA CH,1968,120000,CH,
11,Perfect Holding SA,1935,239000,CH,
12,Gold Fields Limited,12/20/1990,565230,ZA,
13,Geberit AG,1918,221000,CH,1
14,BASF SE,1980,188000,DE,0
15,Schlumberger Limited,3/9/2000,297000,US,
16,Formulafirst Ltd.,10/11/2004,128000,VG,1
17,Thurgauer Kantonalbank,2001,421000,CH,0
18,Zehnder Group AG,2003,520000,US,1
19,Mobimo Holding AG,1946,342000,CH,1
20,Kardex AG,1/1/2004,845000,CH,0
21,abc,1/1/2023,392048,CH,1
